Sl. No.,Location,Identification,Source,Depth,Water Use,Land Use_Specific Activity,City
41,"Vijay Nagar
","Near R. G. College
","HP
",18,"Drinking
","Residential
",Meerut
42,"Saket
","Opp. Nandan Apartment
","HP
",15,"Drinking
","Residential
",Meerut
43,"Prabhat Nagar
",73 Prabhat Nagar,"HP
",27,"Drinking
","Residential
",Meerut
44,"Meerut University
","University Campus
","TW
",87,"Drinking
","Residential
",Meerut
45,"Medical College
","Medical College Campus
","TW
",88,"Drinking
","Residential
",Meerut
46,"Kalyan Nagar
","Shiv Temple
","HP
",14,"Drinking
","Residential
",Meerut
47,"Suraj Kund
","Sports Market
","HP
",15,"Drinking
","Residential
",Meerut
48,"Islamabad
","Market Area
","HP
",24,"Drinking
","Residential
",Meerut
49,"Subhash Nagar
","Near Samart Cement
Agency
","HP
",18,"Drinking
","Residential
",Meerut
50,"Begum Bridge
","Opp. Dream Hotel
","HP
",36,"Drinking
","Residential
",Meerut
52,"Bharathi Nagar
","Rajarajeswari Temple
","OW
",15,"Domestic
","Residential
",Coimbatore
55,"Villankurichi
","Kuppusamy Gounder Garden
","OW
",36,"Domestic
","Residential
",Coimbatore
57,"Valluvar
","Murugan Temple
","BW
",75,"Domestic
","Residential
",Coimbatore
59,"Ondipudur
","9/47B Gandhi Nagar
Residence","BW
",30,"Domestic
","Residential
",Coimbatore
64,"Puliyakulam
","Opp. Lakshmi
Medicals Residence
","BW
",45,"Domestic
","Residential
",Coimbatore
65,"Souripalayam
","Opp. ESI Hospital
","OW
",30,"Domestic
","Residential
",Coimbatore
66,"Vellalur
","Asokar St. Karuppasamy
Gounder
","OW
",13,"Domestic
","Residential
",Coimbatore
68,"Perur
","Panchayat Office
","BW
",90,"Domestic
","Residential
",Coimbatore
69,"Selvapuram
","Kannan Nilayam Residence
","BW
",69,"Domestic
","Residential
",Coimbatore
70,"Chokkam Pudur
","Near Mariamman Temple
","BW
",121,"Domestic
","Residential
",Coimbatore
101,"Aveniyapuram
","Tuticorin By-pass Road
Mani Cement Works
","OW
",13,"Domestic
","Residential
",Madurai
102,"Andalpuram
","Below Railway Over
Bridge
","BW
",45,"Domestic
","Residential
",Madurai
103,"TVS Nagar
","C-31/57, Rajam Road
Residence","BW
",75,"Domestic
","Residential
",Madurai
104,"Muthupatti
","RMS Colony
","BW
",45,"Domestic
","Residential
",Madurai
105,"Pasumalai
","Residence Near Post
Office
","OW
",30,"Domestic
","Residential
",Madurai
106,"Madakulam
","Kabali Eswariamman
Temple
","OW
",9,"Domestic
","Residential
",Madurai
107,"Chokkalinga
",7th St. near Police Station,"BW
",45,"Domestic
","Residential
",Madurai
109,"Pethaniapuram
",1st Cross Street,"BW
",45,"Domestic
","Residential
",Madurai
113,"Balarangapuram
","Opp. Nageswariamman
Temple
","BW
",90,"Domestic
","Residential
",Madurai
114,"Alwarpuram
","River Side Public BW
","BW
",45,"Domestic
","Residential
",Madurai
115,"Sathamangalam
","Opp. Arvind Eye Hospital
","BW
",121,"Domestic
","Residential
",Madurai
116,"K.K. Nagar
","Opp. Kalaivani Tailors, LIC Colony
","BW
",60,"Domestic
","Residential
",Madurai
118,"Jawaharlal Puram
","Residence Well
","OW
",18,"Domestic
","Residential
",Madurai
119,"Kodikulam
","Surya Nagar Lime
Factory
","OW
",12,"Domestic
","Residential
",Madurai
120,"Bibikulam
","Corporation Toilet BW
","BW
",90,"Domestic
","Residential
",Madurai
121,"Chinna
Chokikulam
","OCPM School opp. Police Quarters
","BW
",60,"Domestic
","Residential
",Madurai
76,"Besant Nagar
","Sri. Varasiddi Vinayaka
Temple
","HP
",12,"Drinking
","Urban
",Chennai
77,"Tiruvanniyur
","Marudeeswara Temple
","HP
",15,"Drinking
","Urban
",Chennai
78,"Taramani
","New Iyangar Bakery
","HP
",36,"Drinking
","Urban
",Chennai
79,"Velacheri
","Dandeswaran Temple
","HP
",30,"Drinking
","Urban
",Chennai
81,"K K Nagar
","Vignesh Travels
","HP
",36,"Drinking
","Urban
",Chennai
82,"Vadapalani
","Water Servicing Station
","HP
",36,"Drinking
","Urban
",Chennai
83,"Koyambedu
","Kalyana Mandapam
","OW
",12,"Drinking
","Urban
",Chennai
84,"Anna Nagar (West)
","849, J Block","HP
",24,"Drinking
","Urban
",Chennai
86,"Ayanavaram
","Opp. Sri Balaji Stores
","HP
",42,"Drinking
","Urban
",Chennai
87,"Egmore
","Shishu Ð The Play School
","HP
",30,"Drinking
","Urban
",Chennai
88,"Roypet
","Central Chennai Corp.
Dispensary
","HP
",48,"Drinking
","Urban
",Chennai
89,"Triplicane
","Public Hand Pump
","HP
",30,"Drinking
","Urban
",Chennai
90,"Santhome
","Santhome Church
Compound
","HP
",10,"Drinking
","Urban
",Chennai
91,"Perambur
","Public Hand Pump
","HP
",15,"Drinking
","Urban
",Chennai
92,"Sembiyam
","Public Hand Pump
","HP
",36,"Drinking
","Urban
",Chennai
93,"Erankancheri
","Public Hand Pump
","HP
",42,"Drinking
","Urban
",Chennai
96,"Tondiar Pet
","Public Hand Pump
","HP
",36,"Drinking
","Urban
",Chennai
97,"Toll Gate
","Public Hand Pump
","HP
",42,"Drinking
","Urban
",Chennai
98,"Washerman Pet
","Public Hand Pump
","HP
",33,"Drinking
","Urban
",Chennai
