name,total,percent,code
Thailand,2,0.000730727073438,THA
United Kingdom,87,0.0317866276946,GBR
United States,1064,0.388746803069,USA
China,26,0.00949945195469,CHN
Canada,62,0.0226525392766,CAN
United Arab Emirates,1,0.000365363536719,ARE
India,70,0.0255754475703,IND
Germany,63,0.0230179028133,DEU
Japan,8,0.00292290829375,JPN
Malaysia,12,0.00438436244063,MYS




